repeticion,version,n,ancho,alto,hilos,cuadros,total_s,simulacion_s,dibujo_s
1,paralelo,1000,640,480,4,300,44.822335,0.632348,44.187643
2,paralelo,1000,640,480,4,300,44.253109,0.607138,43.643823
3,paralelo,1000,640,480,4,300,43.755674,0.692881,43.060476
4,paralelo,1000,640,480,4,300,43.891993,0.642776,43.246870
5,paralelo,1000,640,480,4,300,43.501000,0.609930,42.888876
6,paralelo,1000,640,480,4,300,43.858468,0.646405,43.209880
7,paralelo,1000,640,480,4,300,44.189027,0.695079,43.491491
8,paralelo,1000,640,480,4,300,43.676220,0.687422,42.986610
9,paralelo,1000,640,480,4,300,43.599263,0.611731,42.985277
10,paralelo,1000,640,480,4,300,45.460849,0.716053,44.742244
