repeticion,version,n,ancho,alto,hilos,cuadros,total_s,simulacion_s,dibujo_s
1,secuencial,3000,640,480,1,30,18.251609,0.623988,17.627094
2,secuencial,3000,640,480,1,30,12.422454,0.438823,11.983368
3,secuencial,3000,640,480,1,30,12.592795,0.447119,12.145375
4,secuencial,3000,640,480,1,30,12.546107,0.442164,12.103649
5,secuencial,3000,640,480,1,30,12.401226,0.442804,11.958141
6,secuencial,3000,640,480,1,30,12.623299,0.450133,12.172907
7,secuencial,3000,640,480,1,30,12.282103,0.431653,11.850159
8,secuencial,3000,640,480,1,30,12.430601,0.441391,11.988907
9,secuencial,3000,640,480,1,30,14.035281,0.453807,13.581197
10,secuencial,3000,640,480,1,30,13.175108,0.450971,12.723780
